Zn
Action	Sample ID	True Value (NONE)	Conc. (NONE)	Abs.	SG#	Date	Time
STD		0.0500	0.0436	0.0262		3/17/2023	3:37:00 PM(+0700)
STD-1		0.1000	0.1057	0.0643		3/17/2023	3:37:49 PM(+0700)
STD-2		0.1000	0.1060	0.0645		3/17/2023	3:37:58 PM(+0700)
STD-AV		0.1000	0.1058	0.0644		3/17/2023	3:37:49 PM(+0700)
STD-1		0.2000	0.2020	0.1234		3/17/2023	3:38:20 PM(+0700)
STD-2		0.2000	0.2029	0.1240		3/17/2023	3:38:29 PM(+0700)
STD-AV		0.2000	0.2024	0.1237		3/17/2023	3:38:20 PM(+0700)
STD-1		0.3000	0.2300	0.1406		3/17/2023	3:38:49 PM(+0700)
STD-2		0.3000	0.2323	0.1420		3/17/2023	3:38:58 PM(+0700)
STD-AV		0.3000					
STD-1		0.4000	0.3962	0.2426		3/17/2023	3:39:17 PM(+0700)
STD-2		0.4000	0.4002	0.2451		3/17/2023	3:39:26 PM(+0700)
STD-AV		0.4000	0.3981	0.2438		3/17/2023	3:39:17 PM(+0700)
UNK1-1	c0.1		0.0985	0.0599	1	3/17/2023	3:39:56 PM(+0700)
UNK1-2	c0.1		0.1011	0.0615	1	3/17/2023	3:40:05 PM(+0700)
UNK1-AV	c0.1				1		
UNK2-1	g1		0.3835	0.2348	1	3/17/2023	3:40:27 PM(+0700)
UNK2-2	g1		0.3877	0.2374	1	3/17/2023	3:40:36 PM(+0700)
UNK2-AV	g1				1		
UNK3-1	g2		0.3903	0.2390	1	3/17/2023	3:40:55 PM(+0700)
UNK3-2	g2		0.3859	0.2363	1	3/17/2023	3:41:04 PM(+0700)
UNK3-AV	g2				1		
UNK4-1			0.1896	0.1158	1	4/4/2023	3:36:58 PM(+0700)
UNK4-2			0.1857	0.1134	1	4/4/2023	3:37:07 PM(+0700)
UNK4-AV					1		
UNK5-1			0.1990	0.1216	1	4/4/2023	3:46:24 PM(+0700)
UNK5-2			0.2003	0.1224	1	4/4/2023	3:46:33 PM(+0700)
UNK5-AV					1		
UNK6-1			0.4605	0.2821	1	4/4/2023	3:47:14 PM(+0700)
UNK6-2			0.4608	0.2823	1	4/4/2023	3:47:23 PM(+0700)
UNK6-AV					1		
UNK7-1			0.4664	0.2857	1	4/4/2023	3:47:57 PM(+0700)
UNK7-2			0.4617	0.2828	1	4/4/2023	3:48:06 PM(+0700)
UNK7-AV					1		
UNK8-1	chhuan 0.2ppm		0.1998	0.1221	1	4/4/2023	3:55:06 PM(+0700)
UNK8-2	chhuan 0.2ppm		0.1994	0.1218	1	4/4/2023	3:55:16 PM(+0700)
UNK8-AV	chhuan 0.2ppm		0.1997	0.1220	1	4/4/2023	3:55:06 PM(+0700)
UNK9-1	M01		0.2223	0.1359	1	4/4/2023	3:55:51 PM(+0700)
UNK9-2	M01		0.2279	0.1393	1	4/4/2023	3:56:00 PM(+0700)
UNK9-AV	M01		0.2251	0.1376	1	4/4/2023	3:55:51 PM(+0700)
UNK10-1	M02		0.2279	0.1393	1	4/4/2023	3:56:41 PM(+0700)
UNK10-2	M02		0.2267	0.1386	1	4/4/2023	3:56:50 PM(+0700)
UNK10-AV	M02		0.2274	0.1390	1	4/4/2023	3:56:41 PM(+0700)
UNK11-1	M03		0.2187	0.1337	1	4/4/2023	3:57:24 PM(+0700)
UNK11-2	M03		0.2197	0.1343	1	4/4/2023	3:57:33 PM(+0700)
UNK11-AV	M03		0.2192	0.1340	1	4/4/2023	3:57:24 PM(+0700)
UNK12-1	M04		0.1832	0.1119	1	4/4/2023	3:58:31 PM(+0700)
UNK12-2	M04		0.1798	0.1098	1	4/4/2023	3:58:40 PM(+0700)
UNK12-AV	M04		0.1814	0.1108	1	4/4/2023	3:58:31 PM(+0700)
UNK13-1	M05		0.1923	0.1175	1	4/4/2023	3:59:24 PM(+0700)
UNK13-2	M05		0.1917	0.1171	1	4/4/2023	3:59:33 PM(+0700)
UNK13-AV	M05		0.1920	0.1173	1	4/4/2023	3:59:24 PM(+0700)
UNK14-1	M06		0.1940	0.1185	1	4/4/2023	4:00:13 PM(+0700)
UNK14-2	M06		0.1935	0.1182	1	4/4/2023	4:00:22 PM(+0700)
UNK14-AV	M06		0.1938	0.1184	1	4/4/2023	4:00:13 PM(+0700)
