Ni
Action	Sample ID	True Value (ppb)	Conc. (ppb)	Abs.	SG#	Date	Time
STD-1		2.0000	2.6061	0.0381		9/16/2021	9:37:03 AM(+0700)
STD-2		2.0000	2.3126	0.0349		9/16/2021	9:40:23 AM(+0700)
STD-AV		2.0000					
STD-1		4.0000	4.7068	0.0610		9/16/2021	9:42:51 AM(+0700)
STD-2		4.0000	5.1838	0.0662		9/16/2021	9:46:15 AM(+0700)
STD-AV		4.0000					
STD-1		10.0000	12.5043	0.1460		9/16/2021	9:48:43 AM(+0700)
STD-2		10.0000	11.7062	0.1373		9/16/2021	9:52:03 AM(+0700)
STD-AV		10.0000					
STD-1		20.0000	23.2189	0.2628		9/16/2021	9:54:31 AM(+0700)
STD-2		20.0000	23.1730	0.2623		9/16/2021	9:57:55 AM(+0700)
STD-AV		20.0000					
STD-1		30.0000	32.0345	0.3589		9/16/2021	10:00:22 AM(+0700)
STD-2		30.0000	32.4932	0.3639		9/16/2021	10:03:44 AM(+0700)
STD-AV		30.0000					
STD-1		2.0000	0.6246	0.0165		2/21/2022	10:53:29 AM(+0700)
STD-2		2.0000	2.3401	0.0352		2/21/2022	10:56:50 AM(+0700)
STD-3		2.0000	2.1750	0.0334		2/21/2022	10:58:45 AM(+0700)
STD-AV		2.0000					
STD-1		4.0000	3.7987	0.0511		2/21/2022	11:01:13 AM(+0700)
STD-2		4.0000	4.2206	0.0557		2/21/2022	11:04:37 AM(+0700)
STD-AV		4.0000					
STD-1		9.0000	11.2934	0.1328		2/21/2022	11:07:05 AM(+0700)
STD-2		9.0000	9.1376	0.1093		2/21/2022	11:10:26 AM(+0700)
STD-3		9.0000	9.0092	0.1079		2/21/2022	11:12:21 AM(+0700)
STD-AV		9.0000					
STD-1		21.0000	22.1272	0.2509		2/21/2022	11:14:49 AM(+0700)
STD-2		21.0000	21.5768	0.2449		2/21/2022	11:18:12 AM(+0700)
STD-AV		21.0000					
STD-1		30.0000	21.3933	0.2429		2/21/2022	11:20:40 AM(+0700)
STD-2		30.0000	30.1723	0.3386		2/21/2022	11:24:02 AM(+0700)
STD-3		30.0000	30.9429	0.3470		2/21/2022	11:25:57 AM(+0700)
STD-AV		30.0000					
UNK1-1	chuan		22.9345	0.2597	1	5/4/2022	10:55:33 AM(+0700)
UNK1-2	chuan		22.4758	0.2547	1	5/4/2022	10:59:18 AM(+0700)
UNK1-AV	chuan				1		
UNK2-1	ap4		5.0462	0.0647	1	5/4/2022	11:01:40 AM(+0700)
UNK2-2	ap4		4.6793	0.0607	1	5/4/2022	11:03:31 AM(+0700)
UNK2-AV	ap4				1		
UNK3-1	ap6		5.5875	0.0706	1	5/4/2022	11:06:00 AM(+0700)
UNK3-2	ap6		4.9178	0.0633	1	5/4/2022	11:07:52 AM(+0700)
UNK3-3	ap6		4.9362	0.0635	1	5/4/2022	11:09:48 AM(+0700)
UNK3-AV	ap6				1		
UNK4-1	631		2.0190	0.0317	1	5/4/2022	11:12:17 AM(+0700)
UNK4-2	631		2.8171	0.0404	1	5/4/2022	11:14:09 AM(+0700)
UNK4-3	631		1.4319	0.0253	1	5/4/2022	11:16:05 AM(+0700)
UNK4-AV	631				1		
UNK5-1			0.5512	0.0157	1	5/25/2022	9:44:58 AM(+0700)
UNK5-2			0.7898	0.0183	1	5/25/2022	9:46:46 AM(+0700)
UNK5-3			0.2760	0.0127	1	5/25/2022	9:48:43 AM(+0700)
UNK5-AV					1		
UNK6-1	C		22.4758	0.2547	1	5/25/2022	9:51:12 AM(+0700)
UNK6-2	C		21.3658	0.2426	1	5/25/2022	9:54:35 AM(+0700)
UNK6-AV	C				1		
UNK7-1	4		4.3032	0.0566	1	5/25/2022	9:57:02 AM(+0700)
UNK7-2	4		4.3766	0.0574	1	5/25/2022	9:58:54 AM(+0700)
UNK7-AV	4				1		
UNK8-1	6		1.1567	0.0223	1	5/25/2022	10:01:23 AM(+0700)
UNK8-2	6		9.6238	0.1146	1	5/25/2022	10:03:15 AM(+0700)
UNK8-3	6		9.6054	0.1144	1	5/25/2022	10:05:11 AM(+0700)
UNK8-AV	6				1		
UNK9-1	631		4.0922	0.0543	1	5/25/2022	10:07:40 AM(+0700)
UNK9-2	631		4.8536	0.0626	1	5/25/2022	10:09:32 AM(+0700)
UNK9-3	631		4.4041	0.0577	1	5/25/2022	10:11:28 AM(+0700)
UNK9-AV	631				1		
STD-1		2.0000	1.8264	0.0296		5/25/2022	1:35:30 PM(+0700)
STD-2		2.0000	1.4778	0.0258		5/25/2022	1:38:51 PM(+0700)
STD-3		2.0000	1.9364	0.0308		5/25/2022	1:40:47 PM(+0700)
STD-AV		2.0000					
STD-1		4.0000	4.4867	0.0586		5/25/2022	1:43:15 PM(+0700)
STD-2		4.0000	4.4683	0.0584		5/25/2022	1:46:39 PM(+0700)
STD-AV		4.0000					
STD-1		10.0000	11.4677	0.1347		5/25/2022	1:49:07 PM(+0700)
STD-2		10.0000	11.8805	0.1392		5/25/2022	1:52:28 PM(+0700)
STD-AV		10.0000					
STD-1		20.0000	22.8244	0.2585		5/25/2022	1:54:56 PM(+0700)
STD-2		20.0000	12.2657	0.1434		5/25/2022	1:58:19 PM(+0700)
STD-3		20.0000	22.5859	0.2559		5/25/2022	2:00:15 PM(+0700)
STD-AV		20.0000					
STD-1		30.0000	31.2089	0.3499		5/25/2022	2:02:42 PM(+0700)
STD-2		30.0000	31.3098	0.3510		5/25/2022	2:06:04 PM(+0700)
STD-AV		30.0000					
UNK10-1			17.0543	0.1956	1	5/25/2022	2:11:15 PM(+0700)
UNK10-2			12.7886	0.1491	1	5/25/2022	2:14:35 PM(+0700)
UNK10-3			16.8892	0.1938	1	5/25/2022	2:16:30 PM(+0700)
UNK10-AV					1		
UNK11-1	chuan 40		1.2484	0.0233	1	8/3/2022	10:43:33 AM(+0700)
UNK11-2	chuan 40		0.9732	0.0203	1	8/3/2022	10:46:49 AM(+0700)
UNK11-3	chuan 40		0.7531	0.0179	1	8/3/2022	10:48:45 AM(+0700)
UNK11-AV	chuan 40				1		
UNK12-1	631		0.0467	0.0102	1	8/3/2022	10:51:13 AM(+0700)
UNK12-2	631		-0.3844	0.0055	1	8/3/2022	10:53:04 AM(+0700)
UNK12-3	631		-0.4395	0.0049	1	8/3/2022	10:55:00 AM(+0700)
UNK12-AV	631				1		
UNK13-1	ap4		-0.4303	0.0050	1	8/3/2022	10:57:29 AM(+0700)
UNK13-2	ap4		-0.6505	0.0026	1	8/3/2022	10:59:21 AM(+0700)
UNK13-3	ap4		-0.3569	0.0058	1	8/3/2022	11:01:17 AM(+0700)
UNK13-AV	ap4				1		
UNK14-1	ap6		-0.3753	0.0056	1	8/3/2022	11:03:46 AM(+0700)
UNK14-2	ap6		-0.5404	0.0038	1	8/3/2022	11:05:37 AM(+0700)
